champion,lane,matchID,platformID,queue,region,role,season,timestamp
421,JUNGLE,2438661899,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1488247819979
39,TOP,2438581166,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488241680002
58,TOP,2438506691,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488238864993
133,TOP,2438484705,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488236871351
85,BOTTOM,2437022468,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_SUPPORT,PRESEASON2017,1488106373617
133,TOP,2437011135,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488103394930
133,TOP,2434996388,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1487979184391
133,TOP,2434122488,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1487895745626
133,TOP,2434107483,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1487893174712
133,TOP,2433489353,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1487833676375
133,BOTTOM,2433495235,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1487831027689
202,BOTTOM,2434997859,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1487980286860
412,BOTTOM,2409111096,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_SUPPORT,PRESEASON2017,1485461027989
81,BOTTOM,2408458051,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485365675417
202,BOTTOM,2407783213,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485303863430
81,BOTTOM,2406134058,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485116948047
236,BOTTOM,2406098485,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485114603194
81,BOTTOM,2404155586,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1484946898291
92,TOP,2403463402,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1484853778096
81,BOTTOM,2403470263,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1484851189956
236,BOTTOM,2402057741,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1484685936455
51,BOTTOM,2402064604,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1484683670260
57,TOP,2437416025,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488151553629
68,JUNGLE,2432395887,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487727429345
104,JUNGLE,2432323215,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487722349824
121,JUNGLE,2429779925,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487486848670
76,JUNGLE,2429621714,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487483711155
254,JUNGLE,2429534845,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487481409036
56,JUNGLE,2429456704,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487478807167
68,JUNGLE,2429429290,NA1,RANKED_FLEX_SR,NA,NONE,PRESEASON2017,1487476646756
28,JUNGLE,2426548418,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1487223001778
28,JUNGLE,2424198745,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1487015290448
28,JUNGLE,2424204862,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1487012637591
1,MID,2438765657,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488255398873
1,MID,2438689498,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488252439672
1,MID,2438684792,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488249867705
1,MID,2438588698,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488246200740
63,BOTTOM,2438574428,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_SUPPORT,PRESEASON2017,1488243504434
1,MID,2438579995,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488240903401
1,MID,2438495862,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488237939981
1,MID,2438492344,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488235172233
1,MID,2437915650,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488184726672
63,TOP,2437930893,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488179109787
1,TOP,2437829079,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1488176935694
