freshblood,divison,veteran,wins,losses,playerID,playerName,inactive,hotstreak,leaguePoints
True,I,False,48,27,56019174,kina2,False,True,0
True,I,False,65,43,21978925,SlapPorkChop,False,False,20
True,I,False,178,166,76609200,ZTG SolidSnake,False,False,18
True,I,False,82,62,21623482,Event,False,True,265
False,I,True,209,201,20553399,Cat Ears,False,False,75
False,I,False,310,285,43627003,A NEW MONSTER,False,False,0
True,I,False,58,31,28569125,Theone863,False,True,0
True,I,False,134,123,48115033,Klawbro,False,False,0
True,I,False,162,85,22153502,Jhiu Returns,False,False,0
True,I,False,109,98,19634781,DZG Cobra,False,False,0
False,I,False,164,130,22701102,EleJiggle,False,False,211
True,I,False,93,76,59685,SWKM,False,False,191
False,I,False,110,97,22206078,TDK CaillouX,False,False,204
False,I,False,51,36,21451895,Nano Seconds,False,True,99
True,I,False,57,41,22991854,Turkish Coffee,False,False,117
True,I,False,110,99,42018127,Never Been,False,False,79
True,I,False,84,67,54886348,t d,False,False,246
False,I,False,53,25,35017400,consensual clown,False,True,260
False,I,False,120,111,40920065,Pepperidge Patch,False,False,35
False,I,False,104,79,24238137,DG Luna,False,False,143
False,I,False,47,27,68149078,Korean G0D,False,True,65
False,I,False,185,163,23926037,Binti Jua,False,False,33
False,I,False,63,48,65389099,C9 EonYoung,False,True,186
False,I,True,120,102,27746439,Burp,False,False,215
True,I,False,152,134,35035174,NA Mechanics,False,False,0
False,I,False,202,193,23523442,ardnaxela,False,False,0
True,I,False,130,110,26165051,Saucy Sells,False,False,22
False,I,False,179,162,46531569,IKingVex,False,False,221
True,I,False,197,180,21416890,IQ is 201 ,False,False,234
True,I,False,258,232,20696516,master fizz,False,False,56
True,I,False,106,100,44979325,FLY Lemon,False,False,156
True,I,False,258,243,69521784,Yonsi,False,False,54
True,I,False,76,51,19128116,yade or yade,False,False,126
True,I,False,97,83,25599243,Goxtry,False,False,44
True,I,False,110,91,34304824,Trevor Hall,False,True,0
True,I,False,211,190,49511626,Remmacs,False,False,265
False,I,False,147,136,37362949,Siddd,False,False,58
False,I,False,73,59,47836799,MRTONERBONER,False,True,81
True,I,False,68,51,24247556,Danco,False,False,20
False,I,False,127,114,48049942,Panth Tier God,False,False,45
False,I,False,63,52,24509336,Spect,False,False,72
True,I,False,150,140,21947923,I Shadow I,False,True,157
False,I,False,102,97,25060965,CC Hollywood,False,False,0
False,I,False,108,92,76891481,TwitchTv Tai67,False,False,158
True,I,False,69,57,77729240,Old Man Lohpally,False,False,227
True,I,False,87,74,22478427,Biofrost ,False,False,235
False,I,False,128,119,21276764,Vµlcan,False,False,55
False,I,False,152,138,39996814,Grande Donger,False,False,0
False,I,False,97,88,20227573,BukZacH,False,False,93
True,I,False,123,100,28993829,xKace,False,False,270
False,I,False,56,37,581310,YahooDotCom,False,False,36
False,I,False,161,143,45661658,Bao Bao,False,False,92
True,I,False,203,180,25328716,Versag0,False,False,62
True,I,False,152,140,61572841,7120327,False,False,33
True,I,False,128,109,36631236,Sasuni,False,True,0
False,I,False,66,52,19267108,Panunu,False,False,82
False,I,False,65,48,30212825,Spirax,False,False,88
True,I,False,68,52,42788912,JapaneseKoreanUG,False,True,0
False,I,False,80,63,21211528,Best Of You,False,False,129
False,I,False,124,90,46316985,Moldy Vee,False,False,0
True,I,False,123,113,32016710,Noobkiller291,False,False,0
True,I,False,65,31,19901157,Smurfing 217,False,False,0
True,I,False,165,140,41817320,tujinet,False,False,28
False,I,False,121,110,45038172,Sir Celery,False,False,29
True,I,False,83,41,26125816,9213dog,False,False,80
True,I,False,122,64,19882718,Scottyjizzonyou,False,False,26
False,I,False,49,39,19061980,Liquid Lourlo,False,False,6
False,I,False,138,119,58829179,AutoLock Saber,False,False,219
False,I,False,88,79,25243945,Prestivent,False,False,146
False,I,False,66,54,621,Ghost Ghost,False,False,18
True,I,False,138,124,43821064,Gmandlife,False,False,36
True,I,False,52,16,35021069,Yeonbee,False,True,290
True,I,False,173,157,26410615,Was a joke BRAH,False,False,107
True,I,False,62,51,39970213,Verifying Name,False,False,0
False,I,False,57,43,100363,Im Clark Kent,False,False,64
False,I,False,133,118,21340212,MyLovely Vivioni,False,True,120
False,I,False,134,72,55506741,KU Xy,False,False,24
False,I,False,88,69,22688824,The Aviator,False,False,28
False,I,True,153,133,22654107,robust,False,True,249
False,I,False,99,82,66929247,Jòéy,False,False,162
False,I,False,117,107,52590436,Sheiden,False,False,24
False,I,False,72,51,78859542,Morning,False,False,158
False,I,False,131,117,38786576,Myloo,False,False,236
True,I,False,146,127,38772045,ZealotTKO,False,False,22
False,I,False,165,152,32506961,Knight Emperor,False,False,0
False,I,False,140,127,49123600,Veerski,False,False,68
False,I,False,70,53,23376707,Timeless Void,False,False,0
False,I,False,105,92,41981337,Colorro,False,False,33
True,I,False,92,84,307822,1onz,False,False,0
True,I,False,157,135,64785014,Sexy GirI,False,False,258
False,I,False,64,42,50561051,Diuuuuuuuuuuuuuu,False,False,0
True,I,False,51,30,73759236,25th Bam,False,True,166
True,I,False,189,177,69642260,Vortexum,False,False,18
True,I,False,99,78,36386035,C9 Oblivion,False,False,22
False,I,False,88,69,28329959,Zib Nibbler,False,False,228
True,I,False,128,114,20327622,GangstaEnigma,False,False,43
False,I,False,203,192,75250306,KarasMai,False,False,59
False,I,False,125,111,20534978,FourofDiamonds,False,False,169
False,I,False,64,51,39077042,Tro5,False,False,6
True,I,False,255,247,68682833,Asyc xD ,False,False,8
False,I,False,82,80,32705024,Quad Main,False,False,10
False,I,False,113,96,20694079,Day after Day,False,False,63
True,I,False,66,46,22551130,Park,False,False,100
True,I,False,72,60,19134540,Voyboy,False,False,0
True,I,False,120,102,38572712,quante,False,False,20
False,I,False,86,75,78859792,fireboyx,False,False,160
True,I,False,280,264,31592402,CIoudy,False,False,180
True,I,False,194,184,24907087,chakhae,False,False,93
True,I,False,181,130,77311975,PandaPandaPannda,False,True,44
True,I,False,63,43,28460777,Damnsum,False,True,0
True,I,False,147,129,33439727,Aeriya,False,False,232
True,I,False,199,150,82329942,DiMario,False,False,178
False,I,False,112,100,22945412,AsianGoneWild,False,False,99
True,I,False,106,92,20731155,FaR007,False,False,155
True,I,False,118,102,44664326,sKILLSHOTz FIRED,False,False,87
False,I,False,75,60,390914,SoullessInferno,False,False,59
True,I,False,48,29,79390303,keithly,False,False,0
True,I,False,40,24,21193669,Hakuho,False,False,46
False,I,False,58,27,44989338,OrangeNation,False,True,188
False,I,False,154,80,26357125,Makou,False,False,45
True,I,False,56,36,34753465,Ayukura,False,False,85
True,I,False,64,47,52751314,Flash For Kill,False,True,24
False,I,False,99,83,34402763,Crackadon,False,True,69
True,I,False,55,32,21938181,NotJamesDing,False,False,0
True,I,False,101,82,58243493,Śulli,False,False,21
True,I,False,185,168,24935959,Dystrex,False,False,209
True,I,False,99,77,77269277,i am one trick,False,False,178
False,I,False,45,16,75871549,Ssita O  3 O,False,False,67
True,I,False,235,227,28530150,Extreme Person,False,False,0
False,I,True,163,154,41885666,AchiIIes Heal,False,False,29
True,I,False,123,91,80632074,Adi Para Shakti,False,False,152
True,I,False,48,30,83179090,League of Ryu,False,False,204
True,I,False,118,95,60181263,Liquid 1921119,False,False,101
False,I,False,73,60,24449515,pün,False,False,63
True,I,False,85,72,22403576,Pants are Dragon,False,True,245
False,I,False,129,113,19979141,Twocutz,False,True,133
False,I,False,53,38,26183864,Scherb,False,False,100
False,I,False,83,67,272354,ill do my best,False,False,141
True,I,False,87,61,64825900,helpmelearn,False,False,237
False,I,False,131,115,81700817,UNBAN SOJS,False,False,73
True,I,False,74,61,23479635,NoahMost,False,False,24
True,I,False,186,169,43919648,Pawsu,False,False,130
False,I,True,198,174,27282584,Balding Dad,False,True,205
True,I,False,138,121,26408292,1deag,False,False,54
False,I,False,111,93,35703236,PieCakeLord,False,False,130
False,I,False,92,79,83039128,D9 Nobody,False,False,133
False,I,False,137,121,21991932,Mister Lau,False,False,37
False,I,False,97,80,22156402,CraacK,False,False,102
False,I,False,222,216,34228761,Betabet,False,False,0
True,I,False,244,183,47457076,1997 12 10,False,False,54
True,I,False,97,84,25848742,Teemò,False,False,101
False,I,False,62,37,39530710,President Elect,False,True,180
False,I,False,121,107,21329098,MorningBaconBits,False,False,0
False,I,False,146,124,21881143,Spexed,False,False,202
True,I,False,212,196,24344299,Simon Hawkes,False,False,119
False,I,False,91,74,29251647,MichæI,False,False,66
False,I,False,96,78,44951690,Biscuit Crusader,False,True,122
True,I,False,48,28,83339085,League Of Arrow,False,False,179
True,I,False,84,59,21219157,HvK DCStar,False,False,61
True,I,False,141,108,21459323,SneakyJungler,False,False,36
True,I,False,50,29,83039481,Hobbler,False,True,119
True,I,False,117,91,19106536,gelato lord,False,True,243
True,I,False,147,136,45186258,lc0nic,False,False,76
False,I,False,113,100,38906293,ADC Prospect,False,False,80
False,I,False,67,44,25928780,REM BEST GlRL,False,True,105
True,I,False,82,61,20724263,Yesimcelend,False,False,111
True,I,False,123,98,64904867,Hen,False,False,209
False,I,False,50,36,30366254,Acoldblazeolive,False,False,149
True,I,False,46,17,44989342,doubleliftfanboy,False,False,150
False,I,False,81,62,31027710,Braums Mustache,False,False,205
False,I,False,145,134,35110993,I Want My Cigar,False,False,22
False,I,False,90,80,24671130,Allorim,False,True,160
True,I,False,220,214,34469363,am not toxic,False,False,0
False,I,False,108,70,22681046,o boiii,False,False,17
False,I,False,146,123,20822144,Aqùa,False,False,107
False,I,False,203,183,51972895,DouyuTV Jacky,False,False,149
False,I,False,142,101,41805714,5 13 9 12 Y,False,False,40
True,I,False,108,79,21833160,uupa,False,False,200
False,I,False,104,100,45678930,MattyMooo,False,False,23
True,I,False,206,169,25972071,1411702,False,False,0
True,I,False,193,169,41777257,Iley,False,False,199
True,I,False,177,166,36111109,ZatsMod,False,False,228
False,I,False,71,39,24210066,Keff Fking1,False,False,134
True,I,False,152,126,28414702,XAlphaPro,False,False,1
False,I,False,163,132,59800310,THE ELO VAMPIRE,False,False,146
True,I,False,89,72,31621552,Níghtingale,False,False,107
True,I,False,164,147,19599117,Bes,False,True,161
True,I,False,108,94,29194748,Wuri,False,False,0
True,I,False,98,86,39057961,Imentice,False,False,16
False,I,False,88,73,22523843,Enrique2pe,False,False,67
True,I,False,103,88,51580106,a imperator,False,False,161
True,I,False,164,150,26153361,Happy Birfdizzay,False,False,19
True,I,False,80,43,78732375,Touch My Lantern,False,False,143
